Id,Label,timeset,v_name,eigencentrality,componentnumber,pageranks,modularity_class,Authority,Hub,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,Degree
n104,n104,,CD34,0.391163,0,0.003859,8,0.061135,0.061135,3,0.546485,0.586445,3.101739,1.938203,42
n105,n105,,CD52,0.403613,0,0.004022,12,0.063083,0.063084,3,0.548975,0.590595,4.444272,1.724663,44
n106,n106,,CD74,0.185714,0,0.002469,2,0.028845,0.028846,2,0.523913,0.545643,4.140551,1.776083,22
n107,n107,,CD163,0.282082,0,0.002801,8,0.043983,0.043984,2,0.530837,0.558091,0.360904,0.940184,28
n108,n108,,CD200,0.303251,0,0.003117,2,0.047297,0.047298,3,0.534368,0.565698,1.972911,1.249425,32
n109,n109,,CD226,0.360168,0,0.003648,8,0.056253,0.056254,2,0.544018,0.580913,3.145692,1.622943,39
n110,n110,,COG6,0.052971,0,0.001235,6,0.00811,0.00811,3,0.505241,0.511757,0,1.319254,6
n111,n111,,CRHR1,0.160401,0,0.001811,1,0.024926,0.024927,2,0.51606,0.53112,0,0.683237,15
n112,n112,,CTCF,0.082465,0,0.001272,1,0.012778,0.012778,2,0.508439,0.516598,0,0.461262,8
n113,n113,,CTGF,0.082626,0,0.001356,2,0.012794,0.012795,3,0.508439,0.517981,0,0.923451,9
n114,n114,,CX3CR1,0.375511,0,0.003688,8,0.058714,0.058714,2,0.545249,0.582988,1.437108,1.51146,40
n115,n115,,CXCL1,0.639413,0,0.008356,1,0.099913,0.099913,2,0.617949,0.690871,259.089563,6.60224,92
n116,n116,,CXCR4,0.331521,0,0.003457,1,0.051719,0.051719,2,0.540359,0.574689,4.391912,1.910141,36
n117,n117,,CXCR5,0.305475,0,0.00354,7,0.047582,0.047582,2,0.540359,0.574689,8.880916,4.002669,36
n118,n118,,CXCR7,0.287723,0,0.002861,1,0.044902,0.044902,2,0.532009,0.560166,0.506394,1.131946,29
n119,n119,,GATA3,0.076966,0,0.001207,8,0.011866,0.011866,3,0.506303,0.513831,0,0.290297,7
n120,n120,,GDA,0.183643,0,0.002196,0,0.028576,0.028576,3,0.520518,0.540802,0.258767,1.216462,20
n121,n121,,GSTP1,0.188248,0,0.002277,2,0.029314,0.029315,3,0.521645,0.542877,0.369461,1.80627,21
n122,n122,,HDAC1,0.231069,0,0.002408,8,0.036024,0.036025,3,0.523913,0.547026,0.383357,1.078173,23
n123,n123,,HFE,0.240365,0,0.002408,2,0.037446,0.037446,3,0.523913,0.547026,0.165212,0.876474,23
n124,n124,,HLA-B,0.308996,0,0.002934,8,0.048207,0.048208,3,0.532009,0.561549,0.580427,0.919863,30
n125,n125,,HLA-DQA1,0.337625,0,0.003218,8,0.052751,0.052751,3,0.536748,0.569848,0.344236,1.924623,34
n126,n126,,HLA-G,0.539401,0,0.005556,8,0.084445,0.084446,2,0.576555,0.63278,15.287727,3.034317,64
n127,n127,,IFIH1,0.266936,0,0.002748,12,0.041575,0.041576,3,0.528509,0.555325,1.13309,1.235775,27
n128,n128,,IGF1R,0.226387,0,0.002338,8,0.035246,0.035247,3,0.522777,0.544952,0.165492,1.270407,22
n129,n129,,IL4,0.36586,0,0.003687,8,0.057138,0.057139,3,0.542793,0.580221,6.221438,1.739826,39
n130,n130,,IL6,0.186295,0,0.002047,8,0.028972,0.028972,3,0.51828,0.536653,0.317724,0.716098,18
n131,n131,,IL10,0.245848,0,0.002587,8,0.038322,0.038322,3,0.526201,0.551176,1.099519,0.856993,25
n132,n132,,IL21R,0.108107,0,0.001446,0,0.016711,0.016711,3,0.509514,0.520055,0,0.891678,10
n133,n133,,IL23A,0.055708,0,0.001137,1,0.00857,0.00857,2,0.506303,0.512448,0,0.75121,6
n134,n134,,JAG1,0.068042,0,0.001236,11,0.010484,0.010484,3,0.506303,0.513831,0,0.975069,7
n135,n135,,JAK2,0.180355,0,0.002033,1,0.028083,0.028083,3,0.51828,0.536653,0.022222,0.736969,18
n136,n136,,KY,0.475782,0,0.005067,0,0.074346,0.074346,3,0.565728,0.617566,15.841814,3.73965,57
n137,n137,,LIF,0.425873,0,0.004378,1,0.066566,0.066567,2,0.5553,0.599585,11.410847,1.996365,48
n138,n138,,MAG,0.589736,0,0.006704,0,0.092254,0.092254,2,0.595062,0.659751,50.861647,4.849077,77
n139,n139,,MAL,0.487745,0,0.005302,0,0.076225,0.076225,3,0.56974,0.62379,18.265878,6.886538,60
n140,n140,,MANBA,0.137261,0,0.001963,7,0.021274,0.021274,3,0.51606,0.532503,0,3.987889,16
n141,n141,,MIP,0.35909,0,0.003751,2,0.056063,0.056063,2,0.545249,0.582988,5.714676,1.636183,40
n142,n142,,MLC1,0.198566,0,0.00209,8,0.030969,0.030969,3,0.519397,0.538728,0,0.865378,19
n143,n143,,MSC,0.454484,0,0.004443,8,0.071109,0.07111,2,0.55787,0.603734,3.439635,1.681762,50
n144,n144,,NGF,0.349281,0,0.00338,8,0.054563,0.054563,3,0.53915,0.573997,0.776227,0.958826,36
n145,n145,,NKRF,0.04823,0,0.001172,10,0.00738,0.00738,3,0.504184,0.509682,0,1.036337,5
n146,n146,,NKX6-2,0.049762,0,0.001051,12,0.007641,0.007642,3,0.504184,0.509682,0,0.389586,5
n147,n147,,NPC1,0.078468,0,0.001331,9,0.012136,0.012136,3,0.507368,0.515906,0,1.284938,8
n148,n148,,OPA1,0.227472,0,0.002344,12,0.035408,0.035408,3,0.522777,0.544952,0.109444,0.992558,22
n149,n149,,PTPN2,0.25383,0,0.002938,6,0.039488,0.039488,3,0.528509,0.555325,9.136156,2.055973,27
n150,n150,,RGMA,0.205712,0,0.002486,0,0.031971,0.031971,3,0.523913,0.547026,1.948443,3.713288,23
n151,n151,,RPS6KB1,0.170808,0,0.002197,7,0.026506,0.026507,3,0.519397,0.538728,0.738385,3.128284,19
n152,n152,,SET,0.216327,0,0.002525,0,0.033637,0.033638,3,0.525054,0.549101,0.710386,3.890039,24
n153,n153,,SHE,0.315319,0,0.003463,0,0.049159,0.04916,3,0.53915,0.573997,4.012194,3.864994,36
n154,n154,,SOX8,0.137261,0,0.001963,7,0.021274,0.021274,3,0.51606,0.532503,0,3.987889,16
n155,n155,,BIN1,0.068866,0,0.001117,8,0.010629,0.010629,3,0.505241,0.511757,0,0.13489,6
n156,n156,,CBLB,0.164332,0,0.001882,11,0.025553,0.025553,3,0.51606,0.532503,0.096983,0.553257,16
n157,n157,,CYP2R1,0.153062,0,0.001718,8,0.023824,0.023825,3,0.513859,0.528354,0,0.347084,14
n158,n158,,ST8SIA1,0.120107,0,0.001494,8,0.018658,0.018658,3,0.510593,0.52213,0,0.285895,11
n159,n159,,ADAM10,0.136642,0,0.001572,8,0.021215,0.021215,3,0.511677,0.524205,0,0.286383,12
n160,n160,,ADAM12,0.048842,0,0.000967,8,0.007497,0.007497,3,0.503132,0.507607,0,0.047458,4
n161,n161,,ATXN2,0.104277,0,0.001422,0,0.016178,0.016178,3,0.509514,0.520055,0.03125,0.356866,10
n162,n162,,BACH2,0.06057,0,0.001048,8,0.009315,0.009315,3,0.504184,0.509682,0,0.100898,5
n163,n163,,BPI,0.036672,0,0.00089,8,0.005604,0.005604,3,0.502083,0.505533,0,0.054851,3
n164,n164,,CFD,0.037928,0,0.000892,8,0.005791,0.005791,3,0.502083,0.505533,0,0.045197,3
n165,n165,,CHCHD10,0.036335,0,0.001135,3,0.005532,0.005532,3,0.503132,0.507607,0,0.751947,4
n166,n166,,CYFIP2,0.048105,0,0.000965,8,0.007392,0.007392,3,0.503132,0.507607,0,0.117794,4
n167,n167,,DEGS1,0.100069,0,0.001345,8,0.01552,0.01552,3,0.508439,0.517981,0,0.51834,9
n168,n168,,DEXI,0.110939,0,0.001592,12,0.01719,0.01719,3,0.511677,0.524205,0.025,1.084449,12
n169,n169,,FAM126A,0.043988,0,0.000965,12,0.006758,0.006758,3,0.503132,0.507607,0,0.108241,4
n170,n170,,FAT1,0.15375,0,0.001725,11,0.023892,0.023893,3,0.513859,0.528354,0,0.36632,14
n171,n171,,FST,0.100164,0,0.001342,0,0.015527,0.015528,3,0.508439,0.517981,0,0.298994,9
n172,n172,,FTO,0.059354,0,0.001043,8,0.009139,0.009139,3,0.504184,0.509682,0,0.114813,5
n173,n173,,GPBAR1,0.046505,0,0.000967,8,0.007138,0.007138,3,0.503132,0.507607,0,0.085287,4
